pname,pid
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
上海车墩影视基地,100101B209475DD46EAAF9459C
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
上海文化广场(北门),100101B2094654DB6BA4FE439F
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
上海外滩花园酒店(南门),100101B2094655D26DA3FE419B
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
上海文化广场(北门),100101B2094654DB6BA4FE439F
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
莘城中央公园,100101B2094757D068A6FA459E
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
上海文化广场(北门),100101B2094654DB6BA4FE439F
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
上海外滩花园酒店(南门),100101B2094655D26DA3FE419B
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
小草屋,100101B2094453DB6BAAF9469F
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
上海文化广场(北门),100101B2094654DB6BA4FE439F
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
上海外滩花园酒店(南门),100101B2094655D26DA3FE419B
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
上海文化广场(北门),100101B2094654DB6BA4FE439F
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
上海外滩花园酒店(南门),100101B2094655D26DA3FE419B
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
上海文化广场(北门),100101B2094654DB6BA4FE439F
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
上海外滩花园酒店(南门),100101B2094655D26DA3FE419B
莘城中央公园,100101B2094757D068A6FA459E
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
上海外滩花园酒店(南门),100101B2094655D26DA3FE419B
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
上海文化广场(北门),100101B2094654DB6BA4FE439F
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
顾村公园烧烤区,100101B2094757D06FA6FB409B
上海文化广场(北门),100101B2094654DB6BA4FE439F
普陀体育公园,100101B2094654D46BA4FD4692
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
顾村公园烧烤区,100101B2094757D06FA6FB409B
奉贤区南桥镇,100101B2094757D06FABF84992
川沙公园,100101B2094757D069A3FA469F
普陀体育公园,100101B2094654D46BA4FD4692
上海外滩花园酒店(南门),100101B2094655D26DA3FE419B
莘城中央公园,100101B2094757D068A6FA459E
陈云故里,100101B2094757D068A6F5499E
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
複旦大學邯鄲路本部,100101B2094757D16CA6FA449A
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
无印良品上海旗舰店,100101B209445CD76EA4F94692
上海车墩影视基地,100101B209475DD46EAAF9459C
上海财经大学(国定路校区),100101B2094251DA68A5F4449F
宜家家居IKEA（宝山商场）,100101B2094753D769A4F4479B
永夏冷饮零售(天水路店),100101B209445CD56AABFB4592
上海工商外国语职业学院,100101B2094757D168A5F9469D
小草屋,100101B2094453DB6BAAF9469F
上海市闵行区 虹桥火车站,100101B2094750DB6EA3FF449D
上海世贸商城(南门),100101B2094654D56BA5FD4492
