name,adress,divisions,lng,lat
青山商场,和平大道1544号(红钢城地铁站B口步行260米),青山区,114.39738633654606,30.6414657345576
中百仓储(沿港路购物广场),红钢城沿港路店5号,青山区,114.39841101688488,30.6399404371471
武商城市奥莱,和平大道959号(建设二路地铁站C口步行390米),青山区,114.3715539244028,30.62907525616124
印象城IN巷,冶金大道与工业一路交叉口西北80米,青山区,114.385470411279,30.633654827689377
健吾假日广场,冶金大道9号,青山区,114.38643527722384,30.63473792271036
红坊里众诚汇,建设四路9号(和平公园地铁站A口步行480米),青山区,114.37910999654324,30.630497040071557
ATT时尚广场,红钢四街1附2号(红钢城地铁站C口步行220米),青山区,114.39460025544498,30.639838532991583
奥山世纪广场,和平大道809号(科普公园地铁站D口步行230米),青山区,114.35518023598728,30.61946206261549
金地广场,团结大道1335号(仁和路地铁站D口步行360米),洪山区,114.37888621779022,30.606077180300097
武商城市奥莱C潮品馆,和平大道959号(靠本溪街),青山区,114.37211050545226,30.629759411637867
老建二商场,建设二路与和平大道辅路交叉口西北100米,青山区,114.3696353904678,30.627510915288973
汉口北国际商品交易中心,汉口北大道88号,黄陂区,114.31676111074736,30.70542875888128
汉口城市广场购物中心,后湖大道111号(后湖大道地铁站G口步行80米),江岸区,114.30118440624744,30.65433299421817
爱家购物中心,工人村建设十一路桥头小学对面,青山区,114.4134241989672,30.6498802267539
万达广场(盘龙城店),巨龙大道1号,黄陂区,114.29887688282786,30.697149324417552
武汉竹叶山中环商贸城,金桥大道特1号,江岸区,114.29901945882916,30.66526985124952
金鑫家居余家头商场,和平大道783号(和平大道与交通四路交叉口西北100米),武昌区,114.34782641387788,30.61205475905464
武汉天地壹方北馆,永和路8号(头道街地铁站A口步行170米),江岸区,114.30864350553747,30.618590796960284
汉口北国际商品交易中心酒店用品城,汉口北大道88号,黄陂区,114.312128604266,30.7044799773848
中商徐东平价广场,友谊大道488号(徐东地铁站D口旁),洪山区,114.33947034833552,30.59231407726391
中商世界里智慧生活MALL,徐东大街18号(徐东地铁站出入口步行60米),武昌区,114.33762734277082,30.5905800917787
群星城,徐东大街120号(汪家墩地铁站出入口旁),武昌区,114.3436276262199,30.58651290707021
新世界百货(徐东店),徐东大街31号(徐东地铁站H2口旁),武昌区,114.34123777933355,30.59102440188057
武汉天地壹方南馆,永清街办事处京汉大道1398号企业天地2号,江岸区,114.30443640599412,30.611922143815782
大洲商城,冶金大道2号(和平公园地铁站A口步行170米),青山区,114.3820099760736,30.63278510819494
万利生活广场,友谊大道508号(近才华街车站),洪山区,114.34097984560884,30.594713442562565
永旺梦乐城(武汉金桥店),金桥大道15号,江岸区,114.27879735835803,30.63341868757321
武汉壹方购物中心,中山大道与黄浦大街辅路交叉口西南80米,江岸区,114.30544180774656,30.613224812834076
龙田家居商城,汉口北大道中国家具CBD商业街18号,黄陂区,114.37803613382812,30.724388694111376
欧亚达家居徐东商场,徐东大街38号(徐东地铁站B口步行130米),武昌区,114.33987793699684,30.58989526883658
武汉万象城,建设大道668号(取水楼地铁站H口步行260米),江岸区,114.27516369134445,30.6017088375144
中心百货(江汉路店),江汉路129号(江汉路地铁站E口步行250米),江汉区,114.28426284829312,30.58409430337663
M+购物中心,江汉路187号(循礼门地铁站C口步行90米),江汉区,114.2809167304842,30.58592005177812
万科广场,常青一路218号,江汉区,114.25657377260102,30.62578988812136
家盛时代城市生活广场(中北店),中北路120号(青鱼嘴地铁站B口步行50米),武昌区,114.34483673112112,30.56519366430238
王府井百货(中山大道店),中山大道858号,江汉区,114.2860492850346,30.58168371442036
新佳丽时尚广场,中山大道818号(江汉路地铁站H口步行70米),江汉区,114.28555186301716,30.58081873998133
泛悦Mall(北都店),姑嫂树路12号(石桥地铁站F口步行390米),江汉区,114.2609765222748,30.62957290572956
红星美凯龙(武汉竹叶山商场),黄孝河路特一号(竹叶山地铁站出入口旁),江岸区,114.28196840959532,30.6253480574752
俊华广场,水塔街办事处江汉路步行街,江汉区,114.28271317329968,30.585586834210247
金禾中心商场,徐东大街191号金禾中心(岳家嘴地铁站J口步行90米),洪山区,114.35844797168237,30.57933396667058
百联奥特莱斯主题公园,盘龙城盘龙大道51号,黄陂区,114.25234256262324,30.73388268278321
永旺梦乐城(武汉金银潭店),将军路街办事处金银潭大道1号,东西湖区,114.2324437880817,30.65272467037062
汉商武展购物中心,解放大道696号(中山公园地铁站B2口步行70米),江汉区,114.26810193949898,30.582785114585523
武商MALL,解放大道690号,江汉区,114.26575573899312,30.58237223041399
恒隆广场,京汉大道668号(利济北路地铁站B1口步行190米),硚口区,114.26838704606256,30.58029379426212
武商MALLA1座,解放大道688号,江汉区,114.26476496973324,30.58265189665305
武商梦时代,中南路街道武珞路598号,武昌区,114.33511545115522,30.531273701326874
云尚国际时尚中心,中山大道388号(汉正街地铁站B口步行100米),硚口区,114.27275454484588,30.573835992785977
汉正街品牌服饰批发广场,多福路58号(汉正街地铁站B口步行310米),硚口区,114.2719941415506,30.57168955061656
武汉K11购物艺术中心,解放大道628号,硚口区,114.2601027196859,30.581458505081137
中商广场(中南路),中南路9号(中南路地铁站C2口旁),武昌区,114.32615623811276,30.53917203905881
银泰创意城,珞喻路35号(街道口地铁站出入口旁),洪山区,114.35105634364436,30.528775699609977
群光广场,珞喻路6号,洪山区,114.34980410837002,30.52752712259681
大智商城,交易街26号融兴大厦,江岸区,114.28888154753584,30.5901114095578
武商MALL•世贸,解放大道686号,江汉区,114.2635342498334,30.582415894845628
凯德广场,中山大道238号,硚口区,114.26160349469652,30.57120035284546
美奇国际广场,中山大道285-287号,硚口区,114.27251654993174,30.57530069963075
台北商场(二七店),二七北路24号航务一院,江岸区,114.31144196321831,30.63238287979111
库玛商场,中山大道600号(六渡桥地铁站C2口步行310米),江汉区,114.27821771357956,30.576548897347607
武商亚贸广场购物中心,武珞路628号,武昌区,114.33726404645448,30.53162362360397
武商MALLC座,解放大道690号(中山公园地铁站A口步行190米),江汉区,114.2662346823501,30.58143119738592
未来城购物中心,珞狮南路147号一楼服务台(街道口地铁站L口旁),洪山区,114.34798761200928,30.52709125313391
流行视窗购物广场(街道口店),珞瑜路20号(街道口地铁站N口步行130米),洪山区,114.34835900204313,30.52823726831791
汉正广场,利济南路与汉正街交汇处,硚口区,114.26813611182378,30.569024151196366
假日乐园购物广场,解放路464号(司门口黄鹤楼地铁站C口步行250米),武昌区,114.29443948794965,30.54950348666145
武汉多福路商城,汉正街地铁站A口步行320米,硚口区,114.2707917751918,30.57136185528694
暨济商城(沿河大道),沿河大道190号,硚口区,114.27007759534828,30.565702580100044
群光广场二馆,珞喻路6号(街道口地铁站B口步行230米),洪山区,114.351067447812,30.527415119206918
汉正街中心商城,多福路8号,硚口区,114.27224016611888,30.569885957396018
世界城广场,珞喻路766号(近光谷步行街),洪山区,114.39966225386128,30.50852667774395
虎泉购物广场,卓刀泉南路1号(虎泉地铁站D口步行140米),洪山区,114.36413668837376,30.516259849490588
汉商银座购物中心,汉阳大道134号(钟家村地铁站E1口旁),汉阳区,114.2619611450934,30.551552074437375
阳逻广场,阳光大道389号,新洲区,114.56248054828448,30.66588245177289
金鑫家居珞喻商场,珞喻路526号金鑫珞喻路建材家具购物广场,洪山区,114.37685176080862,30.51775509145488
鹤来商场,[],武昌区,114.29443483200912,30.54558682814659
光谷国际广场,珞喻路889号(光谷广场地铁站F口步行480米),洪山区,114.39242394108366,30.50989750927235
华贸商城,汉正街658号,硚口区,114.26976048392874,30.56863782141036
东富商城,东富商城F栋14号,硚口区,114.26643480353758,30.56770906863847
红星美凯龙(武汉汉西商场),汉西三路95号,硚口区,114.21790998882976,30.596456768688903
维佳·佰港城,文治街与丁字桥南路交叉路口,洪山区,114.32101755563032,30.50572045188239
武汉K11Select,[],洪山区,114.40735963566394,30.49560877877259
江腾广场,马鹦路117号,汉阳区,114.2504196735018,30.5394693592193
武汉保利广场,关山大道332号,洪山区,114.4048524759188,30.493257419902168
新星电子电脑商场,民主一街177号(江汉路地铁站G口步行380米),江汉区,114.28201902824011,30.58292975031603
台北商场(紫荆花园店),高雄小区北2门东60米(苗栗路地铁站D口步行360米),江岸区,114.28345434577923,30.59881176428624
光谷天地,关山大道519号,洪山区,114.40500582106174,30.479374358376703
武汉大悦城,高新大道718号,洪山区,114.49332032256132,30.489888598225004
凯德广场(西城),解放大道18号(古田二路地铁站A口步行140米),硚口区,114.18782505497354,30.59998021211486
武汉金银湖万达广场,金山大道1239号,东西湖区,114.17163319815812,30.640034611485355
人信汇(汉阳店),龙阳大道58号(龙阳村地铁站出入口旁),汉阳区,114.19962406009672,30.554646765858227
武汉金旭光劳保用品商城,华中劳保用品城2509-2062号2层,黄陂区,114.32075502679348,30.712048910942404
龙湖天街,烽胜路与白沙三路交叉口西南140米,洪山区,114.28666547748628,30.47925797071736
汉商21世纪购物中心,汉阳大道687号(王家湾地铁站G口旁),汉阳区,114.20531552778108,30.56289483308105
武汉阳逻万达广场,长江新区阳逻街柴泊大道19号,新洲区,114.59926936603432,30.693831754279703
永旺梦乐城(武汉经开店),经济技术开发区江城大道408号,汉阳区,114.2004702602796,30.50626364216067
黄陂广场,黄陂大道387号,黄陂区,114.37019350741332,30.882375101089394
邦尼商城(街道口店),珞喻路1号鹏程国际A座F9层,洪山区,114.34853265747375,30.529465585029765
洪山万科广场ViviLand,白沙洲大道与白沙二路交汇处,洪山区,114.27000952174129,30.485483206307496
汉阳百货商场(大众流行百货店),汉阳大道139钟家村汉阳商厦旁汉商银座7楼,汉阳区,114.2614971594862,30.55197323233831
海天欢乐购,汉阳大道698号(王家湾地铁站K口旁),汉阳区,114.20591564993946,30.56532175880101
蓝江商城,解放路402-410号,武昌区,114.29397827021404,30.547116044144435
万达广场(经开店),东风大道111号(体育中心地铁站A口步行150米),蔡甸区,114.16908323302184,30.50943565867463
红星美凯龙(武汉汉阳商场),龙阳大道125号(四新大道地铁站B口步行240米),汉阳区,114.1912185153952,30.53681867166617
红星美凯龙(武汉额头湾商场),长宜路3号,硚口区,114.16604758488234,30.622231598213677
俊雅家私批发商城,杨园街道和平大道和平大世界东厅旁,武昌区,114.3503887817528,30.613924796717857
源强饰品地下商城,汉正街道汉正街608-618号,硚口区,114.26946265415188,30.56816026982084
永旺梦乐城(武汉江夏店),文化大道199号,江夏区,114.30995245025598,30.39931563055099
国体运动商城,沿河大道217号(江汉一桥旁),硚口区,114.26400858843392,30.565789642685804
德盛水族用品批发商城(堤角花鸟宠物大世界店),堤角花鸟宠物大世界A1-110-112,江岸区,114.33676483286064,30.669027830026103
佛罗伦萨小镇(武汉名品奥特莱斯),葛店开发区高新大道葛店南站正对面,华容区,114.6539175130594,30.489744982297204
武昌胭脂商城,胭脂路13号,武昌区,114.30285119874368,30.54857155263077
阳逻二手商城(北岸名居店),鄂发街北岸名居71号,新洲区,114.56027540547016,30.65483432682637
武汉明辉电子电器批发商城,滨湖侧路汉口北国际商品交易中心(北侧),黄陂区,114.31900485110874,30.71245906284634
左岭商城,高新大道66号(左岭地铁站D口步行310米),洪山区,114.61619366771676,30.492901092371387
建材批发商城(丹水池建材市场店),世通丹水池建材市场2号门南130米,江岸区,114.32664474553668,30.650473142948744
五洲家具商场,汉口北大道与黄武公路交叉口西400米,黄陂区,114.38284497535732,30.721842670864334
红星美凯龙(武汉红霞商场),白沙洲大道二号,洪山区,114.25738873645469,30.41747897320045
金诚心商城(汉口总店),五金机电城W5区1211-1212-1213,黄陂区,114.31986553828312,30.711402930261844
红星美凯龙(武汉红霞商场),白沙洲大道二号,洪山区,114.25738873645469,30.41747897320045
金诚心商城(汉口总店),五金机电城W5区1211-1212-1213,黄陂区,114.31986553828312,30.711402930261844
杰瑞礼五金机电商城(当代云谷店),武汉东湖新技术开发区佛祖岭三路与港边田一路交叉路口当代云谷商铺3号,江夏区,114.46708947002632,30.45395834728182
万达广场(孝感店),孝武大道特1号,孝南区,113.9512970312335,30.903147906207813
吾悦广场(孝感店),乾坤大道133号,孝南区,113.96088872676488,30.920765115760823
省外贸商场,江汉北路与渣家左路交叉口东20米,江岸区,114.27668464686994,30.59031553281705
万达广场,赤壁二路39号,黄州区,114.8988992672364,30.46320936289344
德万家居饰品商城,民主一路36号(小东门地铁站C口步行370米),武昌区,114.31441554025832,30.548455349556967
银泰百货,天仙北路26号,孝南区,113.93842542912314,30.932907302619476
金诚心商城(五洲店),汉口北大道五洲国际建材城,黄陂区,114.37691895550692,30.72033059513327
乾坤购物,乾坤大道8号,孝南区,113.93792720853656,30.920269610710328
保丽国际广场,长征路23号,孝南区,113.91970435593612,30.923566015715952
好邻居五金商城(碧桂园海昌天澜3期店),碧桂园海昌天澜3期西北门旁,东西湖区,114.26585090477668,30.661288705810307
仓埠商场,仓埠街武滨南路1号,新洲区,114.59874049150253,30.83708708104206
黄商团风购物中心,团风镇,团风县,114.86733838488256,30.64008307152911
暨济商城5街(暨济皮具城店),沿河大道190号暨济商城F1层,硚口区,114.27047642208248,30.565585243626504
暨济商城3街,石码头正巷与交通路交叉口北80米,硚口区,114.27064936172673,30.56534016561087
居然之家(湖北黄冈家居生活MALL店),八一路56号,黄州区,114.87417330747176,30.45176079944853
贵夫人女士精品服饰商场(单行道潮流百货店),黄鹤楼街办事处解放路338号,武昌区,114.29306667689583,30.54382561246434
银泰城,天仙北路26号,孝南区,113.93842742658562,30.932905300113717
银泰城,天仙北路26号,孝南区,113.93842742658562,30.932905300113717
黄商购物中心,东门路18号,黄州区,114.8793762127716,30.4559119967138
黄州商城,东门路28附近,黄州区,114.88225992799792,30.457399525285265
乾坤新城,长征南路9号,孝南区,113.91433082679715,30.914493323588832
汉海国际广场,西正街火猴山公园对面,汉川市,113.82900254596346,30.647608100494157
红万家购物广场,创业街1东南方向50米,红安县,114.56598473891742,31.056892684445
中百仓储汉川购物广场,仙女大道184号,汉川市,113.8251811963914,30.66327104254073
吾悦广场(鄂州店),鄂东大道19号,鄂城区,114.91892243209278,30.39518062767877
国酒商城(福莱中心店),友谊大道福莱中心8号楼,武昌区,114.31585341248874,30.569458233616867
南浦国际广场,南浦路56号(雅惠总部斜对面),鄂城区,114.88126069306152,30.4046008026295
东星商城,5丰街73号,东西湖区,114.1342085682317,30.62509780282545
吉盛家具批发商城(华城新都店家具批发储物柜定做),华城新都小区进口中百超市旁,洪山区,114.38838783536468,30.50334259519697
银泰百货(国贸店),南浦路特1号,鄂城区,114.87975407571383,30.40018366510499
黄冈贸易广场,明珠大道,黄州区,114.90806132358448,30.46902207908369
中商百货折扣店(赤壁大道店),[],黄州区,114.87545967238133,30.44926854554025
孝感商场,北正街1号,孝南区,113.90648891883237,30.922247770331108
既济商城皮草屋(暨济商城店),沿河大道既济商城1层5街14、16号,硚口区,114.27050241619926,30.56551224491759
百佳宏业商城,城站路60号,孝南区,113.91620679585964,30.932963922136278
黄商购物中心(东方名都店),东门路91-88号,黄州区,114.89589239182014,30.46791123966528
驰恒国际广场,鄂东大道与滨湖东路路口,鄂城区,114.909758195294,30.394298055580684
既济内衣商城(既济电力商城店),沿河大道190号暨济商城F1层,硚口区,114.26959473548878,30.566555725243912
瑞天广场,明珠大道28号,黄州区,114.91961030034297,30.446191932078424
恒鑫测绘仪器商场(中南规划设计院小区店),中南一路66号(中南路地铁站B口步行430米),武昌区,114.32295821662964,30.542177163609686
全洲国际商城,全洲路锦华苑小区交通大道东侧约30米,孝南区,113.91766341855526,30.943578347874038
新世界购物中心,明塘路46号,鄂城区,114.88113873501896,30.403175008208414
宋埠广场,宋埠大道与群益路交叉口北80米,麻城市,114.79128466319185,31.063346850683477
黄商购物中心(胜利街店),胜利街80号,黄州区,114.87241864912146,30.451349254209035
既济内衣商城(既济电力商城店),沿河大道190号暨济商城,硚口区,114.27014262613146,30.565002769241545
闽都购物广场,马口镇朝阳路158号,汉川市,113.83645162150556,30.5680344253419
鄂州市吴都新百佳购物广场,吴都阳光北1-10,鄂城区,114.89981584950247,30.36836827332942
温州商贸城,宝塔大道68号,黄州区,114.8750744903458,30.435256521354003
阳光购物中心,淋山河镇淋山河大道山河市场,团风县,114.88700234515332,30.74332295958437
中国麻将机商城(白玉路店),白玉路4北100米,青山区,114.47527652858572,30.60834504075894
六号门商场,宁安路40号6层,黄陂区,114.37143462904451,30.871407127486407
烟酒商城,南京路18号,江岸区,114.2914183914528,30.58157178065802
武汉汉口商场(香江家居店),汉西三路与南泥湾大道交叉口东北200米,硚口区,114.21669333787254,30.60169254674143
鄂州正阳广场,武昌大道242号,鄂城区,114.87538919938588,30.405805132592132
龙成购物中心(华夏龙成店),107国道与黄孝路交汇处华夏龙成,孝南区,113.94347102841157,30.955512262446888
六和商场,前川大道201号,黄陂区,114.37214825378884,30.870427973209367
华兴商城,兴新街116号,江夏区,114.31325554582368,30.3497089976672
绿地工博汇 工业品(华中)国际博览商场,国博大道与正平街交叉口绿地工博汇(武汉国际博览中心西北门),汉阳区,114.2344490636418,30.513497586874653
七一商场,胜利街80号,黄州区,114.87237957230622,30.45180510447385
时代购物中心(毛陈店),汉丹街与龙宫路交汇处西50米,孝南区,113.9707655046046,30.86383433008873
盛地广场,红华路27号盛地沃尔玛4楼东南方向20米,红安县,114.60164999750717,31.286605767777928
百尚购物广场,武昌大道西50米,鄂城区,114.90605217868196,30.402524315526247
南方国际商贸城(K区),四和路(南方国际商城内),孝南区,113.93462843029872,30.89669613730489
奓山商场,泉西路76号,蔡甸区,114.00626901566632,30.45200403067493
星空微尘数字商城,[],江夏区,114.44714454671652,30.421429459706463
李集中心商场,影院街2号,新洲区,114.66905229629845,30.875813347129
马口商业广场,马口镇,汉川市,113.82501718707344,30.566583791697813
盛世商城,双风大道490号长江钢材五金批发隔壁,黄陂区,114.37062466498814,30.87718863775516
雅马哈乐器商城,黄鹤楼街办事处大成路43号附1号,武昌区,114.29489650898944,30.54258809158336
三民家具商场,民族路61号,江汉区,114.27965298003764,30.572011807880127
孝商集团天桥商场,城站路58号,孝南区,113.90775409664964,30.923107652741024
龙成购物中心,人民路与小康路交叉口东北80米,孝南区,114.1276156456292,30.841916546453398
城市中央广场,东吴路与复兴大道交叉口东北120米,孝南区,113.95857977979864,30.920581128741382
黄石港万达广场,花湖大道30号,黄石港区,115.05448150332782,30.245819327354283
黄石团城山万达广场,广州路30号,下陆区,114.99744320937944,30.18860903962464
万华休闲购物广场,黄州区经济开发区新港大道27号(东坡小学正对面),黄州区,114.90585129807091,30.46304264651528
泰富广场,新庙镇滨湖东路61号,鄂城区,114.9085235881252,30.377034893683508
